"year","no_cnip","total_persons","fips_county_code","fips_state_code","housing_units_total","no_vacant","no_poverty","no_white","no_black","no_native","no_asian","no_hispanic","no_unemployed"
"2013",12397,25529,"021","06",10825,1197,5198,23178,220,626,3179,10726,1584
"2013",66720,124701,"023","06",61769,8473,26600,111409,1632,7625,7073,13584,7426
"2013",71383,158925,"025","06",56234,8135,38286,119903,5421,2602,39977,141709,13214
"2013",9518,16836,"027","06",9478,1605,2309,15014,178,1982,961,3684,826
"2013",367280,766789,"029","06",285895,30624,186811,613143,47548,9880,147081,422395,50233
"2013",60815,137602,"031","06",44134,3349,28019,108970,10253,1872,24806,78236,9249
"2013",27206,59053,"033","06",35508,9003,15860,52877,1557,2241,5812,11323,4488
"2013",11092,32108,"035","06",12705,2760,3953,24441,2856,1159,4293,6084,1509
"2013",5070505,9087612,"037","06",3452901,222518,1737224,5277461,833477,51849,3362216,4741492,580531
"2013",58232,137499,"039","06",49329,6813,32604,123945,5114,2635,14774,82456,6203
"2013",134831,234806,"041","06",111351,8439,19121,202139,7258,728,35091,39540,10206
"2013",8604,17039,"043","06",10241,3003,2876,15944,158,619,637,1717,1239
"2013",42458,80380,"045","06",40434,6556,17221,71752,636,3906,7793,19856,5123
"2013",113506,233901,"047","06",83828,8419,64490,172936,9611,2372,64594,143858,20299
"2013",4069,8760,"049","06",5200,1217,1917,8445,125,271,235,1353,434
"2013",8756,13248,"051","06",13932,8664,1197,12050,59,224,1373,3817,904
"2013",195998,380425,"053","06",139326,13898,68185,314643,12422,4069,73918,235119,21545
"2013",72712,126239,"055","06",54851,5420,13563,108198,2944,1000,21018,44942,6625
"2013",47099,91493,"057","06",52662,11671,11696,91072,412,859,3388,8598,5022
"2013",1604290,2806709,"059","06",1052959,57447,373049,1912743,49836,11660,974840,1032879,150339
"2013",175200,327383,"061","06",153886,21177,30850,299557,4317,2470,34270,46425,17525
"2013",9012,18143,"063","06",15590,6593,2917,17784,238,432,622,1591,1551
"2013",1030145,2034472,"065","06",805142,121998,355511,1475081,138881,22075,498125,1025543,153115
"2013",707855,1310661,"067","06",557331,40088,248304,860827,144617,12507,326458,312797,97193
"2013",28764,51375,"069","06",17930,935,6639,46772,734,531,5624,31930,3971
"2013",938164,1877158,"071","06",701332,97453,375280,1294675,179372,18851,472625,1026596,136314
"2013",1545211,2874325,"073","06",1169496,93013,441648,2241045,158843,21795,570412,1015362,155014
"2013",497993,762866,"075","06",378186,32842,108306,411561,47992,3430,319855,124167,41148
"2013",322960,629036,"077","06",234622,19059,123115,407287,49901,6376,181492,272529,52165
"2013",134269,251967,"079","06",117784,15630,36588,228238,5942,2468,26164,57503,11360
"2013",403806,667444,"081","06",271499,13558,54905,423875,19886,2572,249207,184742,32594
"2013",216542,389443,"083","06",153254,11534,65740,315639,8482,4574,82280,184851,20352
