"coc.number","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","coc.state","sample","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total"
"ca-614",2016,583,12,0,179,0,8,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-614",2017,677,6,0,185,86,9,"ca","hic extra",NA,NA,NA,NA,NA,NA
"ca-614",2018,723,6,0,217,80,9,"ca","hic extra",NA,NA,NA,NA,NA,NA
"co-500",2014,2880,93,40,1214,45,41,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-500",2015,3209,20,0,1265,34,25,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-500",2016,3441,0,0,1319,47,46,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-500",2017,3425,0,0,1433,53,60,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-500",2018,3357,75,0,1454,53,50,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-503",2014,8367,565,65,3440,20,114,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-503",2015,8280,185,0,2551,300,139,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-503",2016,9393,84,0,2860,340,151,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-503",2017,11250,138,190,2872,220,146,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-503",2018,9298,793,9,3007,160,90,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-504",2014,1507,109,71,385,78,0,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-504",2015,1589,130,239,461,55,0,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-504",2016,1665,46,175,654,104,0,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-504",2017,1460,345,31,549,56,0,"co","hic extra",NA,NA,NA,NA,NA,NA
"co-504",2018,1715,292,24,769,53,0,"co","hic extra",NA,NA,NA,NA,NA,NA
"ct-503",2014,1144,16,7,242,0,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-503",2015,2240,72,0,578,43,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
"ct-503",2016,2318,173,0,583,43,0,"ct","hic extra",NA,NA,NA,NA,NA,NA
