"coc.number.new","year","beds_current","beds_new","beds_dev","beds_facility","beds_other","beds_voucher","beds_es","beds_th","beds_rrh","beds_sh","beds_psh","beds_total","d.sample.bos.statewide","d.sample.esg.2013.2019","d.sample.coc.2013.2019","d.sample.suburban","d.sample.rural","d.sample.urban","d.sample.majorcity","d.sample.merged"
"ca-510",2017,1403,177,0,402,53,238,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-510",2018,1288,177,0,446,71,143,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-511",2014,2172,42,12,873,0,73,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-511",2015,2044,96,12,694,0,58,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-511",2016,2323,12,0,705,0,34,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-511",2017,2206,0,59,713,0,194,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-511",2018,2401,0,0,800,0,212,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-512",2014,1546,8,0,274,0,39,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-512",2015,1507,78,0,258,0,67,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-512",2016,1646,50,0,199,0,57,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-512",2017,1848,23,0,229,0,23,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-512",2018,2042,5,0,274,0,36,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"ca-513",2014,631,165,23,235,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-513",2015,845,23,33,254,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-513",2016,847,30,36,250,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-513",2017,713,119,116,281,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-513",2018,756,111,43,268,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-514",2014,1724,137,80,293,0,142,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-514",2015,1830,86,0,294,5,78,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-514",2016,1875,77,0,337,4,75,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-514",2017,1996,57,39,269,0,113,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-514",2018,2165,240,46,328,0,97,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"ca-515",2014,624,20,0,166,60,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-515",2015,639,77,31,185,70,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-515",2016,879,10,0,308,75,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-515",2017,840,0,17,331,91,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-515",2018,1052,9,0,329,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-516",2014,619,34,0,226,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-516",2015,531,34,0,326,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-516",2016,614,22,0,366,0,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-516",2017,987,143,0,345,0,56,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-516",2018,661,109,0,266,0,48,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-517",2014,303,0,0,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ca-517",2015,292,0,0,158,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ca-517",2016,302,0,0,164,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ca-517",2017,320,13,6,168,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ca-517",2018,272,36,0,147,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"ca-518",2014,670,40,9,179,80,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-518",2015,491,13,104,242,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-518",2016,648,110,36,250,50,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-518",2017,715,0,12,162,30,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-518",2018,801,0,0,240,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-519",2014,567,3,0,208,10,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-519",2015,440,44,0,230,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-519",2016,613,77,0,268,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-519",2017,828,95,0,268,43,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-519",2018,867,65,4,200,66,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"ca-520",2014,300,20,17,103,20,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-520",2015,380,0,20,119,0,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-520",2016,358,0,9,108,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-520",2017,303,0,0,101,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-520",2018,350,20,0,95,0,33,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-521",2014,422,48,44,149,25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-521",2015,384,80,12,165,25,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-521",2016,389,99,0,95,25,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-521",2017,448,4,0,131,0,91,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-521",2018,498,0,8,144,0,68,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"ca-522",2014,311,55,0,44,0,55,0,0,0,0,0,0,0,0,1,0,1,0,0,0
